Section,Type,Path,URL,Name
Cost Comparison,Comparison,/cost-comparison/hernia-repair-surgery-india,https://medicaltoursindia.com/cost-comparison/hernia-repair-surgery-india,"Hernia Repair Surgery Cost Comparison"
Treatments,Procedure,/treatments/general-advanced-surgeries-india/appendix-surgery-india,https://medicaltoursindia.com/treatments/general-advanced-surgeries-india/appendix-surgery-india,"Appendix Surgery"
Cost Comparison,Comparison,/cost-comparison/appendix-surgery-india,https://medicaltoursindia.com/cost-comparison/appendix-surgery-india,"Appendix Surgery Cost Comparison"
Treatments,Procedure,/treatments/eye-care-ophthalmology-india/lasik-eye-surgery-cost-india,https://medicaltoursindia.com/treatments/eye-care-ophthalmology-india/lasik-eye-surgery-cost-india,"LASIK Eye Surgery"
Cost Comparison,Comparison,/cost-comparison/lasik-eye-surgery-cost-india,https://medicaltoursindia.com/cost-comparison/lasik-eye-surgery-cost-india,"LASIK Eye Surgery Cost Comparison"
Treatments,Procedure,/treatments/eye-care-ophthalmology-india/cataract-surgery-india,https://medicaltoursindia.com/treatments/eye-care-ophthalmology-india/cataract-surgery-india,"Cataract Surgery"
Cost Comparison,Comparison,/cost-comparison/cataract-surgery-india,https://medicaltoursindia.com/cost-comparison/cataract-surgery-india,"Cataract Surgery Cost Comparison"
Treatments,Procedure,/treatments/eye-care-ophthalmology-india/retina-surgery-india,https://medicaltoursindia.com/treatments/eye-care-ophthalmology-india/retina-surgery-india,"Retina Surgery"
Cost Comparison,Comparison,/cost-comparison/retina-surgery-india,https://medicaltoursindia.com/cost-comparison/retina-surgery-india,"Retina Surgery Cost Comparison"
Treatments,Procedure,/treatments/eye-care-ophthalmology-india/cornea-transplant-india,https://medicaltoursindia.com/treatments/eye-care-ophthalmology-india/cornea-transplant-india,"Cornea Transplant"
Cost Comparison,Comparison,/cost-comparison/cornea-transplant-india,https://medicaltoursindia.com/cost-comparison/cornea-transplant-india,"Cornea Transplant Cost Comparison"
Treatments,Procedure,/treatments/eye-care-ophthalmology-india/glaucoma-treatment-india,https://medicaltoursindia.com/treatments/eye-care-ophthalmology-india/glaucoma-treatment-india,"Glaucoma Treatment"
Cost Comparison,Comparison,/cost-comparison/glaucoma-treatment-india,https://medicaltoursindia.com/cost-comparison/glaucoma-treatment-india,"Glaucoma Treatment Cost Comparison"
Treatments,Procedure,/treatments/dental-treatments-india/dental-implants-cost-india,https://medicaltoursindia.com/treatments/dental-treatments-india/dental-implants-cost-india,"Dental Implants"
Cost Comparison,Comparison,/cost-comparison/dental-implants-cost-india,https://medicaltoursindia.com/cost-comparison/dental-implants-cost-india,"Dental Implants Cost Comparison"
Treatments,Procedure,/treatments/dental-treatments-india/full-mouth-rehabilitation-india,https://medicaltoursindia.com/treatments/dental-treatments-india/full-mouth-rehabilitation-india,"Full Mouth Rehabilitation"
Cost Comparison,Comparison,/cost-comparison/full-mouth-rehabilitation-india,https://medicaltoursindia.com/cost-comparison/full-mouth-rehabilitation-india,"Full Mouth Rehabilitation Cost Comparison"
Treatments,Procedure,/treatments/dental-treatments-india/root-canal-treatment-india,https://medicaltoursindia.com/treatments/dental-treatments-india/root-canal-treatment-india,"Root Canal Treatment"
Cost Comparison,Comparison,/cost-comparison/root-canal-treatment-india,https://medicaltoursindia.com/cost-comparison/root-canal-treatment-india,"Root Canal Treatment Cost Comparison"
Treatments,Procedure,/treatments/dental-treatments-india/smile-makeover-veneers-india,https://medicaltoursindia.com/treatments/dental-treatments-india/smile-makeover-veneers-india,"Smile Makeover / Veneers"
